gene_id,SL325661,SL325662,SL325663,SL325660,SL325665,SL325671,SL325667,SL325656,SL325657,SL325658,SL325659,SL325664,SL325670,SL325666
ENSCAFG00000014413,932,585,902,1081,636,1196,747,243,603,129,120,198,49,195
ENSCAFG00000014412,712,485,654,879,541,1308,769,665,1784,615,442,509,1362,825
ENSCAFG00000014410,421,171,558,309,759,669,615,231,314,345,139,403,369,307
ENSCAFG00000014417,0,0,1,0,0,3,0,0,2,0,0,3,0,3
ENSCAFG00000014416,235,154,238,344,198,433,312,42,221,200,360,177,649,207
ENSCAFG00000014415,212,126,170,354,143,362,241,60,188,162,165,136,368,175
ENSCAFG00000014414,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000020943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000020948,7,20,37,23,7,45,97,7,24,41,46,18,70,9
ENSCAFG00000020949,0,0,0,0,0,0,0,1,2,0,0,1,0,1
ENSCAFG00000012716,737,459,635,659,323,781,719,218,2990,919,1184,977,469,882
ENSCAFG00000012717,7688,4018,4838,7466,3970,5486,6879,3703,7908,10037,10374,6715,4525,9901
ENSCAFG00000012714,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000012715,75,61,108,144,91,154,166,62,178,190,296,79,743,176
ENSCAFG00000012712,114,247,242,48,121,31,117,41,189,54,47,75,13,86
ENSCAFG00000012713,29,6,24,4,9,6,15,3,275,0,0,0,2,57
ENSCAFG00000012710,616,242,457,423,244,318,803,404,962,71,1597,644,69,496
ENSCAFG00000012711,4,6,6,2,0,6,3,5,3,3,0,0,3,0
ENSCAFG00000012718,7197,3596,2939,12283,1026,4034,8602,3898,844,3607,1532,3450,1181,2390
ENSCAFG00000012719,1090,1173,1353,1845,915,2264,1753,498,1229,890,1629,895,1337,510
ENSCAFG00000023418,0,5,0,11,0,18,15,10,0,0,0,0,0,0
ENSCAFG00000046078,0,2,1,3,1,4,1,1,1,1,1,1,3,0
ENSCAFG00000046079,143,104,106,116,71,123,106,158,184,124,107,97,207,259
ENSCAFG00000046072,0,8,3,0,0,12,0,0,0,4,4,0,12,8
ENSCAFG00000046073,6,20,9,0,0,6,2,0,20,3,18,6,17,0
ENSCAFG00000046070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000023412,8,12,29,49,0,12,71,27,34,0,0,45,29,135
ENSCAFG00000046076,0,8,1,1,0,1,5,1,2,0,5,0,0,2
ENSCAFG00000023414,104,92,93,104,92,184,182,47,77,60,102,68,91,66
ENSCAFG00000046074,0,0,0,0,0,0,0,0,0,0,0,0,0,10
ENSCAFG00000046075,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ENSCAFG00000011160,192,91,118,209,157,255,146,59,146,141,347,119,339,150
ENSCAFG00000011161,3,5,4,8,3,10,6,1,8,5,6,8,6,5
ENSCAFG00000011162,10,30,33,46,6,37,54,24,11,6,4,12,0,11
ENSCAFG00000011163,0,8,0,4,0,0,0,3,0,0,0,2,0,5
ENSCAFG00000011164,439,998,902,937,504,1253,1412,319,2476,1717,1316,1085,521,453
ENSCAFG00000011165,418,294,434,500,285,681,581,170,441,313,485,299,411,230
ENSCAFG00000011166,5,4,3,2,2,2,2,2,1,2,1,2,5,4
ENSCAFG00000011167,1650,1413,1662,2156,2667,2157,2437,1321,2804,1403,1965,2318,3432,2652
ENSCAFG00000011168,559,670,394,355,153,178,747,1142,87,18,39,162,213,323
ENSCAFG00000011169,2,13,19,5,15,46,14,3,68,10,30,7,31,2
ENSCAFG00000025812,0,1,0,0,0,0,0,0,0,0,1,0,0,1
ENSCAFG00000025810,0,1,0,0,2,0,0,0,0,0,0,0,2,0
ENSCAFG00000025817,0,1,0,1,0,0,0,0,0,0,1,0,0,0
ENSCAFG00000010419,0,0,0,0,4,0,2,0,0,0,0,0,9,16
ENSCAFG00000025814,9,16,8,12,7,24,39,5,21,19,17,8,28,3
ENSCAFG00000010417,1707,1723,1840,2186,1348,3065,1605,772,2470,3235,2826,1358,2187,913
ENSCAFG00000010416,328,243,400,588,278,953,599,158,402,314,556,251,429,298
ENSCAFG00000025819,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSCAFG00000010414,0,0,3,0,2,0,0,0,2,2,0,0,42,0
ENSCAFG00000010413,854,1034,846,798,430,571,642,123,257,243,190,234,88,309
ENSCAFG00000010412,111,36,103,87,75,60,34,176,583,297,226,204,792,319
ENSCAFG00000010411,1613,1790,1924,2905,1310,3410,2615,1534,2496,2888,3465,1692,4089,2022
ENSCAFG00000010410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000047039,0,2,0,0,0,0,0,0,0,6,0,0,6,0
ENSCAFG00000047038,0,70,10,7,19,0,0,0,118,6,153,3,9,0
ENSCAFG00000047035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000047034,0,4,0,0,0,0,0,0,0,0,0,0,2,0
ENSCAFG00000047037,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000047036,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000047031,0,0,0,0,2,0,0,0,2,6,0,0,0,0
ENSCAFG00000047030,0,0,0,5,0,0,0,0,0,0,0,0,2,0
ENSCAFG00000047033,2,12,5,6,4,3,0,0,2,0,26,0,2,5
ENSCAFG00000047032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000006244,296,292,354,407,212,714,384,60,378,293,664,248,281,128
ENSCAFG00000006247,319,281,501,242,80,480,534,6,459,0,0,2,0,0
ENSCAFG00000006246,35,44,49,57,14,50,121,0,13,0,3,0,0,0
ENSCAFG00000006241,865,850,957,1304,516,1780,1236,429,1150,1089,1072,760,1448,707
ENSCAFG00000006240,1044,1170,1530,1809,969,2626,2346,206,550,452,1043,598,282,225
ENSCAFG00000006243,1023,484,707,1007,904,1347,1125,685,2344,1303,1395,1253,2432,1403
ENSCAFG00000006249,3833,2470,2983,4200,2487,4596,3892,1251,3564,2405,2313,2393,2781,2383
ENSCAFG00000006248,1460,1530,656,1485,931,2053,792,6,10,2,12,37,0,18
ENSCAFG00000002554,247,298,248,581,343,375,487,155,519,348,440,325,1271,290
ENSCAFG00000002557,15,11,23,53,14,35,35,11,97,10,33,8,72,10
ENSCAFG00000002556,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ENSCAFG00000002551,4930,4433,5407,5251,4491,6185,6719,2838,7107,5115,7117,5587,7341,5032
ENSCAFG00000002550,404,292,211,152,139,206,178,111,170,311,194,233,214,107
ENSCAFG00000002553,577,445,439,568,388,650,449,164,504,380,559,351,292,249
ENSCAFG00000002552,649,546,592,1007,581,1110,1223,463,849,565,1003,529,327,845
ENSCAFG00000002558,829,626,821,602,507,701,861,167,561,524,774,430,630,319
ENSCAFG00000040021,4,5,0,2,0,0,0,0,0,0,0,0,2,0
ENSCAFG00000040020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000040027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000040028,0,2,4,2,5,2,0,0,3,3,0,0,0,0
ENSCAFG00000013148,4,17,4,4,0,0,2,0,14,2,0,0,0,2
ENSCAFG00000013149,498,394,379,637,224,706,405,146,267,126,270,205,131,118
ENSCAFG00000013144,137,136,119,222,70,163,158,55,158,114,167,117,186,122
ENSCAFG00000013146,1705,1315,1727,2770,1202,3213,1992,1917,1726,1870,2284,1076,3310,1506
ENSCAFG00000013140,606,484,425,881,346,915,719,167,734,377,634,167,878,403
ENSCAFG00000013142,8,16,12,7,5,16,13,2,9,6,15,4,4,0
ENSCAFG00000013143,2712,2142,2679,2824,1623,3006,2871,2518,3242,2625,2059,2464,3093,2153
ENSCAFG00000038073,0,12,4,0,0,0,0,0,0,0,7,0,0,0
ENSCAFG00000049506,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ENSCAFG00000049505,2,3,0,2,0,0,0,0,0,0,0,0,0,2
ENSCAFG00000049504,0,1,1,1,1,1,0,1,0,1,2,1,1,0
ENSCAFG00000049503,0,0,0,0,0,1,0,0,1,0,0,0,0,0
ENSCAFG00000049502,4,14,16,2,4,1,1,8,7,2,2,3,2,5
ENSCAFG00000038075,101,47,120,23,34,72,74,15,16,14,49,5,42,45
ENSCAFG00000049500,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000049509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000049508,0,1,1,0,0,0,1,0,0,0,0,0,3,0
ENSCAFG00000026892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000026893,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000026891,2,2,3,1,0,0,0,1,1,1,1,0,0,0
ENSCAFG00000026896,0,0,1,0,0,0,0,1,0,0,1,0,1,2
ENSCAFG00000026897,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000026894,2,2,1,0,0,0,0,0,1,0,0,1,0,0
ENSCAFG00000003202,1246,1046,1113,1318,714,1635,1032,544,1269,1134,1398,783,2271,862
ENSCAFG00000003200,4,20,4,0,4,8,0,0,4,0,0,0,0,2
ENSCAFG00000003201,4,6,13,3,6,0,4,3,15,10,0,0,25,0
ENSCAFG00000041088,0,5,0,2,0,0,0,0,8,0,0,0,2,3
ENSCAFG00000041089,2,1,2,2,0,1,1,1,2,0,2,0,1,1
ENSCAFG00000041082,383,301,448,765,249,542,582,168,400,283,533,233,535,371
ENSCAFG00000041083,0,7,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000041080,0,0,2,0,0,0,0,0,0,0,0,0,3,0
ENSCAFG00000041081,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ENSCAFG00000041086,0,0,0,0,0,2,0,0,0,0,0,1,2,0
ENSCAFG00000041087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000041084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000041085,1,0,1,1,0,0,1,1,0,1,0,0,0,1
ENSCAFG00000000959,1394,920,1241,1475,837,1837,1735,582,1036,677,1058,965,1441,1038
ENSCAFG00000000958,4417,2065,5457,5706,12251,8497,3402,1348,3113,1937,12967,11801,20558,7050
ENSCAFG00000000957,250,204,208,684,160,307,362,105,129,22,63,39,805,42
ENSCAFG00000000956,1075,855,696,1217,531,904,698,724,1033,982,883,614,1625,896
ENSCAFG00000000955,24,42,41,43,26,45,50,7,65,34,107,40,246,37
ENSCAFG00000000954,1010,786,898,976,484,1084,930,738,1262,1201,1222,826,2755,1537
ENSCAFG00000000953,11683,8838,9916,8983,5104,7769,15052,4497,3612,2544,3553,4304,5717,6970
ENSCAFG00000000951,227,288,281,315,132,522,322,36,262,293,300,129,526,143
ENSCAFG00000000950,36848,30003,25284,43878,20251,31457,22814,24704,20740,17122,14271,17254,41293,29183
ENSCAFG00000046854,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000046855,7,29,11,10,10,3,5,0,10,4,10,0,8,0
ENSCAFG00000032734,4,8,7,7,4,18,20,27,423,3,8,11,6,16
ENSCAFG00000046857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000019151,13,5,4,0,0,0,8,6,5,0,0,8,0,6
ENSCAFG00000019150,0,2,9,12,12,15,6,0,149,2,45,3,26,47
ENSCAFG00000032730,18,26,31,33,11,40,21,14,32,4,31,10,14,14
ENSCAFG00000019152,824,552,993,1062,690,1845,1042,207,1148,1089,1067,678,1013,551
ENSCAFG00000046858,2,3,0,4,0,0,2,0,2,4,4,2,0,0
ENSCAFG00000019158,113992,82059,89028,143253,88024,121982,106134,63425,58426,39161,46485,58466,78155,97042
ENSCAFG00000032738,454,707,896,731,415,1405,860,414,1059,853,917,713,1024,322
ENSCAFG00000032739,1,0,0,0,0,0,0,0,1,0,0,0,1,0
ENSCAFG00000039854,2,16,2,5,3,2,0,3,0,0,18,0,0,6
ENSCAFG00000045503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000045502,3,4,1,0,0,0,1,0,0,0,0,0,0,3
ENSCAFG00000045501,10,42,13,0,0,0,0,0,8,0,3,0,2,10
ENSCAFG00000045500,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000045507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000045506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000045505,0,1,3,0,0,0,0,0,0,0,0,0,0,1
ENSCAFG00000045504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000032080,30,6,15,4,3,13,9,7,4,8,10,0,7,0
ENSCAFG00000032081,1119,1975,1570,2726,1138,2373,3171,985,2371,2358,3480,1628,2036,1112
