"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME"
"ENSCAFG00000011986",1865.78780831675,-4.61212651777974,0.349771835392126,-13.1861003405524,1.05503298472131e-39,1.92132056847598e-35,"PLIN1","perilipin 1"
"ENSCAFG00000000782",415.803234599439,2.88260987479685,0.234419099462569,12.2968217240213,9.4208611661973e-35,8.57816513488095e-31,"GTSE1","G2 and S-phase expressed 1"
"ENSCAFG00000006248",571.127323032114,-6.89977583687895,0.572393051497053,-12.0542620474394,1.841746260784e-33,1.11800137183791e-29,"CHL1","cell adhesion molecule L1 like"
"ENSCAFG00000014986",305.81072107093,-9.34779757403846,0.797402265229233,-11.7228129159518,9.73837876394151e-32,4.43364039175347e-28,"FMO2","flavin containing dimethylaniline monoxygenase 2"
"ENSCAFG00000005266",345.835814237132,-5.09965883991078,0.436839568260387,-11.6739856241022,1.73118419890407e-31,6.3053190892484e-28,"CIDEC","cell death inducing DFFA like effector c"
"ENSCAFG00000008090",380.030734710772,2.34102036082,0.202138793218882,11.5812522848352,5.12912501910523e-31,1.55677492871542e-27,"HELLS","helicase, lymphoid specific"
"ENSCAFG00000018381",3525.22721404445,-3.63437251840333,0.315188994780959,-11.5307722623026,9.23119067443109e-31,2.40156019102949e-27,"ESM1","endothelial cell specific molecule 1"
"ENSCAFG00000006392",171.848789159634,-4.40622302754183,0.3854674854074,-11.4308552455077,2.93206603965369e-30,6.67448183101666e-27,"ACKR4","atypical chemokine receptor 4"
"ENSCAFG00000030764",389.085016716731,-1.4234945464931,0.127572086825015,-11.1583543228046,6.51870622553264e-29,1.31902398970194e-25,"SLC25A29","solute carrier family 25 member 29"
"ENSCAFG00000003807",377.973633463632,-3.14221341475196,0.294457138043002,-10.6712081616886,1.3880963868827e-26,2.29805666377462e-23,"KLF15","Kruppel like factor 15"
"ENSCAFG00000018724",576.723310923065,3.32682663449902,0.311715345466678,10.6726431113564,1.36682076023394e-26,2.29805666377462e-23,"SPAG5","sperm associated antigen 5"
"ENSCAFG00000001854",253.192386768009,-3.58146410923752,0.336330755481336,-10.6486369470195,1.76936790700728e-26,2.68516324620912e-23,"AQP7","aquaporin 7"
"ENSCAFG00000015323",1001.05160364276,-3.52093516068309,0.341033503826334,-10.3243086710802,5.47115028105127e-25,7.66423982832497e-22,"PLIN4","perilipin 4"
"ENSCAFG00000004272",247.570487747241,2.4810310682765,0.241765536883957,10.2621370285185,1.04370977079705e-24,1.35764275971321e-21,"RAD54L","RAD54 like"
"ENSCAFG00000028708",989.472537819682,-2.51549011301762,0.245513117807819,-10.2458481057076,1.23536641608706e-24,1.49981718689076e-21,"SCD5","stearoyl-CoA desaturase 5"
"ENSCAFG00000014490",26285.1365723135,-5.02827216243765,0.49926500057378,-10.0713491966369,7.39565009511564e-24,8.41763649263444e-21,"IGFBP2","insulin like growth factor binding protein 2"
"ENSCAFG00000016616",457.38844342454,3.03793381059011,0.303371217111548,10.0139157548129,1.32405721325755e-23,1.41837681827254e-20,"IQGAP3","IQ motif containing GTPase activating protein 3"
