gene,pt1,pt2,pt3,pt4,pt5,pt6,pt7,SYMBOL,GENENAME
ENSCAFG00000000016,-2.431017187,-0.297699159,-1.115967132,-0.156318666,0.13482596,-1.648013549,-0.530183926,MBP,myelin basic protein
ENSCAFG00000000025,-2.511287003,-2.463853703,-1.883709485,-1.26806379,-2.199196932,1.528617699,-2.37614069,NA,NA
ENSCAFG00000000031,na,2.110871377,0.391615532,-0.486725525,1.707166159,2.985126965,1.396213859,NETO1,neuropilin and tolloid like 1
ENSCAFG00000000039,0.69064725,1.268656983,na,na,0.440183785,2.067217782,0.485177833,DOK6,docking protein 6
ENSCAFG00000000052,-1.513517555,-2.004369148,-1.633081788,-1.305396177,-1.030623496,-1.681944829,-1.226695086,CDH19,cadherin 19
ENSCAFG00000000059,0.208377489,0.868321121,1.05471459,0.489519391,0.491612936,2.053640857,2.68225707,SERPINB2,serpin family B member 2
ENSCAFG00000000075,-2.452778059,-0.156142735,-1.168798341,0.362218364,-0.753936343,-2.359419312,-1.828605482,TNFRSF11A,TNF receptor superfamily member 11a
ENSCAFG00000000094,0.888968251,1.535663206,0.956011654,0.955181365,-0.1949361,2.119675104,1.078988045,LMAN1,"lectin, mannose binding 1"
ENSCAFG00000000131,0.995897922,0.243981525,0.700092039,0.552038028,0.810092826,0.445452828,-0.040559263,GLS2,glutaminase 2
ENSCAFG00000000144,-1.001372945,-1.420066552,-1.05571521,-0.679017509,-0.948933709,0.664327885,-0.801750827,CCDC68,coiled-coil domain containing 68
ENSCAFG00000000148,-0.467582671,-4.18750864,-1.891232793,-2.800367302,-1.32114188,-3.7716949,-2.04734407,RDH16,retinol dehydrogenase 16
ENSCAFG00000000157,-0.870106719,-0.32968983,-0.762802466,-1.580410364,-1.807612399,-0.243197605,-1.411587183,DCC,DCC netrin 1 receptor
ENSCAFG00000000159,0.741835856,1.141734393,0.725663826,0.581222343,0.244278695,0.987426576,-0.126283647,NEMP1,nuclear envelope integral membrane protein 1
ENSCAFG00000000184,-1.245974272,-1.211502566,-2.615299051,-2.043877674,-0.038292216,-2.916109746,-1.138436323,MOXD1,monooxygenase DBH like 1
ENSCAFG00000000189,-1.107935807,-0.969601873,-0.957355001,-0.654807686,-0.593685306,-1.287073755,-1.067416183,SLC18B1,solute carrier family 18 member B1
ENSCAFG00000000195,1.292016798,1.128448932,1.093611234,0.842925081,0.933596996,2.347420228,2.023174354,SHMT2,serine hydroxymethyltransferase 2
ENSCAFG00000000196,-0.94149642,-0.820432851,-0.879645734,-1.344756532,-1.568263905,0.789682334,-0.598363436,EYA4,EYA transcriptional coactivator and phosphatase 4
ENSCAFG00000000206,0.446291315,-1.417358172,-3.910356963,-3.130536707,-0.272069469,-1.47282897,-2.490496703,CDO1,cysteine dioxygenase type 1
ENSCAFG00000000229,0.670051519,2.484936343,0.597489523,0.714374333,0.380056056,1.741220376,0.828107386,MARS1,methionyl-tRNA synthetase 1
ENSCAFG00000000244,0.560650729,1.839289093,1.994367768,1.418969203,0.99562774,2.755973208,1.541425373,MTFR2,mitochondrial fission regulator 2
ENSCAFG00000000246,-1.66084613,-0.398568042,-1.758848857,-2.410469352,-1.001446845,-0.495642386,-0.527808543,COL23A1,collagen type XXIII alpha 1 chain
ENSCAFG00000000251,-1.048319216,-0.957655748,-1.371595679,-1.618938589,-0.766190166,-2.178209384,-0.71490308,MAP3K5,mitogen-activated protein kinase kinase kinase 5
ENSCAFG00000000280,0.667189769,2.209375632,0.662208975,0.598687084,0.624842104,1.761111538,1.4245278,CDK4,cyclin dependent kinase 4
ENSCAFG00000000285,-1.54839119,-1.336795247,-1.406891302,-0.066960056,-0.733903638,-1.852328222,-1.312205735,CITED2,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
ENSCAFG00000000287,0.504201526,3.181301627,-0.099041634,1.13743186,2.325908177,0.4415097,0.925145073,CYP27B1,cytochrome P450 family 27 subfamily B member 1
ENSCAFG00000000296,-1.282998981,0.23188144,-1.03366161,-0.807332607,-0.969476451,-1.748905347,-0.290839927,ADGRG6,adhesion G protein-coupled receptor G6
ENSCAFG00000000327,na,-2.465901351,-2.523981443,-2.859059465,-2.890915697,-2.310574839,2.349982488,NA,NA
ENSCAFG00000000339,1.850010429,0.701518385,-0.396179151,0.158753516,1.620893998,1.272061674,2.273377575,AVPR1A,arginine vasopressin receptor 1A
ENSCAFG00000000354,-0.073368284,-0.462116263,-0.889159978,-0.51082316,-0.163397461,-0.607292848,-0.257725648,LTC4S,leukotriene C4 synthase
ENSCAFG00000000364,-3.82608915,-7.866558502,2.01107531,-0.75243022,-3.522867394,-3.256109502,-5.359868689,WIF1,WNT inhibitory factor 1
ENSCAFG00000000366,-0.483529166,-1.084629999,-0.955030295,-0.997137181,-0.832065145,-1.983595244,-0.845850448,SASH1,SAM and SH3 domain containing 1
